Char,AtkSpd,Initial,End,Frames,RelAtkFrame
Shenhe,100,131,309,178,0.994413408
Shenhe,100,1181,1361,180,1.005586592
Shenhe,108,2144,2304,160,0.893854749
Shenhe,108,3066,3227,161,0.899441341
Shenhe,108,441,603,162,0.905027933
Shenhe,108,1404,1566,162,0.905027933
Shenhe,112,2816,2980,164,0.916201117
Shenhe,112,3411,3569,158,0.882681564
Shenhe,112,340,501,161,0.899441341
Shenhe,112,746,907,161,0.899441341
Shenhe,115,122,288,166,0.927374302
Shenhe,115,760,914,154,0.860335196
Shenhe,115,1520,1675,155,0.865921788
Shenhe,120,436,582,146,0.815642458
Shenhe,120,1472,1625,153,0.854748603
Shenhe,120,2449,2597,148,0.826815642
Shenhe,120,3354,3503,149,0.832402235
Shenhe,132,,,148,0.826815642
Shenhe,132,,,147,0.82122905
Shenhe,147,,,145,0.810055866
Chongyun,100,18,243,225,0.992647059
Chongyun,100,850,1076,226,0.997058824
Chongyun,100,1669,1898,229,1.010294118
Chongyun,108,2542,2749,207,0.913235294
Chongyun,108,3642,3855,213,0.939705882
Chongyun,108,4440,4655,215,0.948529412
Chongyun,123,9083,9280,197,0.869117647
Chongyun,123,11853,12047,194,0.855882353
Chongyun,123,15654,15848,194,0.855882353
Chongyun,115,16958,17166,208,0.917647059
Chongyun,115,18547,18754,207,0.913235294
Chongyun,115,21892,22099,207,0.913235294
Chongyun,135,24534,24724,190,0.838235294
Chongyun,135,24871,25057,186,0.820588235
Chongyun,135,29209,29398,189,0.833823529
Razor,100,665,870,205,0.998376623
Razor,100,1274,1479,205,0.998376623
Razor,100,1777,1983,206,1.003246753
Razor,108,2388,2579,191,0.930194805
Razor,108,3337,3527,190,0.925324675
Razor,108,4252,4442,190,0.925324675
Razor,115,7154,7335,181,0.881493506
Razor,115,7521,7703,182,0.886363636
Razor,123,13366,13537,171,0.832792208
Razor,123,13692,13866,174,0.847402597
Razor,123,16591,16763,172,0.837662338
Razor,135,20277,20435,158,0.769480519
Razor,135,25512,25670,158,0.769480519
Razor,135,32431,32587,156,0.75974026
Razor,141,35677,35828,151,0.73538961
Razor,141,35952,36104,152,0.74025974
Razor,141,38745,38899,154,0.75
Razor,141,38980,39133,153,0.74512987
Razor,153,46784,46924,140,0.681818182
Razor,153,47060,47201,141,0.686688312
Razor,153,53384,53523,139,0.676948052
Razor,160,59522,59658,136,0.662337662
Razor,160,62262,62399,137,0.667207792
Razor,160,62471,62609,138,0.672077922
